directory,directory_path,directory_depth,file_name,file_path,file_size,file_extension,mime_type,lines_of_code,complexity_score,functions_classes_count,imports_count,patterns_count,last_modified
logs,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\logs,7,status-logs-filter.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\logs\status-logs-filter.tsx,4301,.tsx,application/octet-stream,164,17,0,0,1,2025-08-28T21:21:28
logs,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\logs,7,terminal-line.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\logs\terminal-line.tsx,3335,.tsx,application/octet-stream,116,12,0,0,1,2025-08-28T21:21:28
logs,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\logs,7,utils.ts,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\logs\utils.ts,4276,.ts,video/vnd.dlna.mpeg-tts,129,8,1,0,1,2025-08-28T21:21:28
show,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\show,7,colums.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\show\colums.tsx,3275,.tsx,application/octet-stream,133,13,0,0,1,2025-08-28T21:21:28
show,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\show,7,show-containers.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\show\show-containers.tsx,7059,.tsx,application/octet-stream,235,24,0,0,1,2025-08-28T21:21:28
terminal,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\terminal,7,docker-terminal-modal.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\terminal\docker-terminal-modal.tsx,2431,.tsx,application/octet-stream,92,9,0,0,1,2025-08-28T21:21:28
terminal,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\terminal,7,docker-terminal.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\docker\terminal\docker-terminal.tsx,2144,.tsx,application/octet-stream,69,7,0,0,1,2025-08-28T21:21:28
file-system,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\file-system,6,show-traefik-file.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\file-system\show-traefik-file.tsx,4177,.tsx,application/octet-stream,159,16,0,0,1,2025-08-28T21:21:28
file-system,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\file-system,6,show-traefik-system.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\file-system\show-traefik-system.tsx,3337,.tsx,application/octet-stream,105,10,0,0,1,2025-08-28T21:21:28
impersonation,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\impersonation,6,impersonation-bar.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\impersonation\impersonation-bar.tsx,13660,.tsx,application/octet-stream,440,45,0,0,1,2025-08-28T21:21:28
mariadb,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb,6,update-mariadb.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\update-mariadb.tsx,3919,.tsx,application/octet-stream,154,16,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\general,7,show-external-mariadb-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\general\show-external-mariadb-credentials.tsx,4926,.tsx,application/octet-stream,166,17,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\general,7,show-general-mariadb.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\general\show-general-mariadb.tsx,8182,.tsx,application/octet-stream,260,26,0,0,1,2025-08-28T21:21:28
